Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Flow Packets/s,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Init Win Bytes Fwd,Label
57665,8001,6,65938757,5,0.15,7326528.56,63800000,2,2116246,529061.5,726502,2,168,168,0.08,65535,adware
38035,8001,6,65953063,5,0.15,7328118.11,63800000,2,2136869,534217.25,721875,2,168,168,0.08,65535,adware
55166,8001,6,60063007,6,0.17,6673667.44,57900000,3,60100000,12000000,57900000,3,200,136,0.1,65535,adware
38035,8001,6,53901637,2,0.04,53900000,53900000,53900000,53900000,53900000,53900000,53900000,64,0,0.04,1386,adware
57665,8001,6,113902273,2,0.02,114000000,114000000,114000000,114000000,114000000,114000000,114000000,64,0,0.02,1386,adware
56906,8001,6,1911121,2,1.05,1911121,1911121,1911121,1911121,1911121,1911121,1911121,64,0,1.05,1386,adware
46313,8001,6,1973001,2,1.01,1973001,1973001,1973001,1973001,1973001,1973001,1973001,64,0,1.01,1386,adware
50853,8001,6,2159627,2,0.93,2159627,2159627,2159627,2159627,2159627,2159627,2159627,64,0,0.93,1386,adware
47901,8001,6,2153502,2,0.93,2153502,2153502,2153502,2153502,2153502,2153502,2153502,64,0,0.93,1386,adware
41409,8001,6,2179495,2,0.92,2179495,2179495,2179495,2179495,2179495,2179495,2179495,64,0,0.92,1386,adware
43826,8001,6,2177629,2,0.92,2177629,2177629,2177629,2177629,2177629,2177629,2177629,64,0,0.92,1386,adware
36845,8001,6,2177627,2,0.92,2177627,2177627,2177627,2177627,2177627,2177627,2177627,64,0,0.92,1386,adware
60978,8001,6,2198625,2,0.91,2198625,2198625,2198625,2198625,2198625,2198625,2198625,64,0,0.91,1386,adware
36310,8001,6,2238739,2,0.89,2238739,2238739,2238739,2238739,2238739,2238739,2238739,64,0,0.89,1386,adware
38646,8001,6,2334371,2,0.86,2334371,2334371,2334371,2334371,2334371,2334371,2334371,64,0,0.86,1386,adware
41216,8001,6,2899751,2,0.69,2899751,2899751,2899751,2899751,2899751,2899751,2899751,64,0,0.69,1386,adware
33573,8001,6,2917000,2,0.69,2917000,2917000,2917000,2917000,2917000,2917000,2917000,64,0,0.69,1386,adware
38456,8001,6,2915253,2,0.69,2915253,2915253,2915253,2915253,2915253,2915253,2915253,64,0,0.69,1386,adware
59490,8001,6,2928752,2,0.68,2928752,2928752,2928752,2928752,2928752,2928752,2928752,64,0,0.68,1386,adware
55131,8001,6,2947622,2,0.68,2947622,2947622,2947622,2947622,2947622,2947622,2947622,64,0,0.68,1386,adware
55899,8001,6,2956125,2,0.68,2956125,2956125,2956125,2956125,2956125,2956125,2956125,64,0,0.68,1386,adware
57665,8001,6,4095750,2,0.49,4095750,4095750,4095750,4095750,4095750,4095750,4095750,64,0,0.49,1386,adware
38035,8001,6,4275629,2,0.47,4275629,4275629,4275629,4275629,4275629,4275629,4275629,64,0,0.47,1386,adware
56906,8001,6,7610753,2,0.26,7610753,7610753,7610753,7610753,7610753,7610753,7610753,64,0,0.26,1386,adware
46313,8001,6,7936873,2,0.25,7936873,7936873,7936873,7936873,7936873,7936873,7936873,64,0,0.25,1386,adware
50853,8001,6,8660253,2,0.23,8660253,8660253,8660253,8660253,8660253,8660253,8660253,64,0,0.23,1386,adware
47901,8001,6,8656005,2,0.23,8656005,8656005,8656005,8656005,8656005,8656005,8656005,64,0,0.23,1386,adware
41409,8001,6,8754502,2,0.23,8754502,8754502,8754502,8754502,8754502,8754502,8754502,64,0,0.23,1386,adware
43826,8001,6,8754502,2,0.23,8754502,8754502,8754502,8754502,8754502,8754502,8754502,64,0,0.23,1386,adware
36845,8001,6,8754502,2,0.23,8754502,8754502,8754502,8754502,8754502,8754502,8754502,64,0,0.23,1386,adware
60978,8001,6,8869378,2,0.23,8869378,8869378,8869378,8869378,8869378,8869378,8869378,64,0,0.23,1386,adware
36310,8001,6,8968752,2,0.22,8968752,8968752,8968752,8968752,8968752,8968752,8968752,64,0,0.22,1386,adware
38646,8001,6,9344878,2,0.21,9344878,9344878,9344878,9344878,9344878,9344878,9344878,64,0,0.21,1386,adware
41216,8001,6,11559380,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,adware
33573,8001,6,11681255,2,0.17,11700000,11700000,11700000,11700000,11700000,11700000,11700000,64,0,0.17,1386,adware
38456,8001,6,11681255,2,0.17,11700000,11700000,11700000,11700000,11700000,11700000,11700000,64,0,0.17,1386,adware
59490,8001,6,11745878,2,0.17,11700000,11700000,11700000,11700000,11700000,11700000,11700000,64,0,0.17,1386,adware
55131,8001,6,11784505,2,0.17,11800000,11800000,11800000,11800000,11800000,11800000,11800000,64,0,0.17,1386,adware
55899,8001,6,11848999,2,0.17,11800000,11800000,11800000,11800000,11800000,11800000,11800000,64,0,0.17,1386,adware
57665,8001,6,16360629,2,0.12,16400000,16400000,16400000,16400000,16400000,16400000,16400000,64,0,0.12,1386,adware
38035,8001,6,17079002,2,0.12,17100000,17100000,17100000,17100000,17100000,17100000,17100000,64,0,0.12,1386,adware
56906,8001,6,30441755,2,0.07,30400000,30400000,30400000,30400000,30400000,30400000,30400000,64,0,0.07,1386,adware
46313,8001,6,31751999,2,0.06,31800000,31800000,31800000,31800000,31800000,31800000,31800000,64,0,0.06,1386,adware
57206,8001,6,65552859,5,0.17,6555285.9,64700000,2,827623,206905.75,279998,2,168,200,0.08,65535,adware
50853,8001,6,34680630,2,0.06,34700000,34700000,34700000,34700000,34700000,34700000,34700000,64,0,0.06,1386,adware
47901,8001,6,34681871,2,0.06,34700000,34700000,34700000,34700000,34700000,34700000,34700000,64,0,0.06,1386,adware
41409,8001,6,34999505,2,0.06,35000000,35000000,35000000,35000000,35000000,35000000,35000000,64,0,0.06,1386,adware
43826,8001,6,34999506,2,0.06,35000000,35000000,35000000,35000000,35000000,35000000,35000000,64,0,0.06,1386,adware
36845,8001,6,34998391,2,0.06,35000000,35000000,35000000,35000000,35000000,35000000,35000000,64,0,0.06,1386,adware
60978,8001,6,35441007,2,0.06,35400000,35400000,35400000,35400000,35400000,35400000,35400000,64,0,0.06,1386,adware
36310,8001,6,35887135,2,0.06,35900000,35900000,35900000,35900000,35900000,35900000,35900000,64,0,0.06,1386,adware
38646,8001,6,37401007,2,0.05,37400000,37400000,37400000,37400000,37400000,37400000,37400000,64,0,0.05,1386,adware
41216,8001,6,46249758,2,0.04,46200000,46200000,46200000,46200000,46200000,46200000,46200000,64,0,0.04,1386,adware
33573,8001,6,46720260,2,0.04,46700000,46700000,46700000,46700000,46700000,46700000,46700000,64,0,0.04,1386,adware
38456,8001,6,46720259,2,0.04,46700000,46700000,46700000,46700000,46700000,46700000,46700000,64,0,0.04,1386,adware
59490,8001,6,46963632,2,0.04,47000000,47000000,47000000,47000000,47000000,47000000,47000000,64,0,0.04,1386,adware
55131,8001,6,47127008,2,0.04,47100000,47100000,47100000,47100000,47100000,47100000,47100000,64,0,0.04,1386,adware
55899,8001,6,47285513,2,0.04,47300000,47300000,47300000,47300000,47300000,47300000,47300000,64,0,0.04,1386,adware
36754,8001,6,65974962,5,0.15,7330551.33,64300000,3,1705244,426311,717369,3,168,168,0.08,65535,adware
54804,8001,6,69105261,5,0.16,6910526.1,63900000,2,5236743,1309185.75,3796751,2,168,200,0.07,65535,adware
49366,8001,6,65979350,5,0.15,7331038.89,63800000,2,2166743,541685.75,726867,2,168,168,0.08,65535,adware
35490,8001,6,65893684,5,0.15,7321520.44,63800000,3,2083367,520841.75,725751,3,168,168,0.08,65535,adware
34390,8001,6,65988513,5,0.15,7332057,64400000,3,1545493,386373.25,643115,3,168,168,0.08,65535,adware
48509,8001,6,66075710,5,0.15,7341745.56,63900000,3,2169375,542343.75,730625,3,168,168,0.08,65535,adware
42285,8001,6,65901777,5,0.15,7322419.67,63800000,3,2093500,523375,723751,3,168,168,0.08,65535,adware
51020,8001,6,65926845,5,0.15,7325205,63800000,3,2102619,525654.75,720752,3,168,168,0.08,65535,adware
51715,8001,6,65891195,5,0.15,7321243.89,63600000,2,2286242,571560.5,927876,2,168,168,0.08,65535,adware
33039,8001,6,65924074,5,0.15,7324897.11,63800000,3,2105744,526436,721375,3,168,168,0.08,65535,adware
33116,8001,6,65960701,5,0.15,7328966.78,63800000,3,2114244,528561,723499,3,168,168,0.08,65535,adware
45606,8001,6,65937165,5,0.15,7326351.67,63800000,2,2126742,531685.5,721374,2,168,168,0.08,65535,adware
60925,8001,6,65952456,5,0.15,7328050.67,63800000,2,2138995,534748.75,724627,2,168,168,0.08,65535,adware
55116,8001,6,65957078,4,0.14,8244634.75,64500000,2,1435620,478540,729125,2,136,168,0.06,65535,adware
37441,8001,6,65912765,5,0.15,7323640.56,63800000,2,2103242,525810.5,724501,2,168,168,0.08,65535,adware
54095,8001,6,2526251,6,3.96,280694.56,682294,2,2526251,505250.2,1025249,2,200,136,2.38,65535,adware
51227,8001,6,62546765,6,0.16,6949640.56,60400000,2,62500000,12500000,60400000,2,200,136,0.1,65535,adware
37441,8001,6,56462010,2,0.04,56500000,56500000,56500000,56500000,56500000,56500000,56500000,64,0,0.04,1386,adware
55116,8001,6,116472526,2,0.02,116000000,116000000,116000000,116000000,116000000,116000000,116000000,64,0,0.02,1386,adware
42285,8001,6,2928384,2,0.68,2928384,2928384,2928384,2928384,2928384,2928384,2928384,64,0,0.68,1386,adware
51715,8001,6,2931376,2,0.68,2931376,2931376,2931376,2931376,2931376,2931376,2931376,64,0,0.68,1386,adware
33116,8001,6,2938124,2,0.68,2938124,2938124,2938124,2938124,2938124,2938124,2938124,64,0,0.68,1386,adware
33039,8001,6,2938122,2,0.68,2938122,2938122,2938122,2938122,2938122,2938122,2938122,64,0,0.68,1386,adware
51020,8001,6,2936629,2,0.68,2936629,2936629,2936629,2936629,2936629,2936629,2936629,64,0,0.68,1386,adware
60925,8001,6,2964376,2,0.67,2964376,2964376,2964376,2964376,2964376,2964376,2964376,64,0,0.67,1386,adware
45606,8001,6,2962629,2,0.68,2962629,2962629,2962629,2962629,2962629,2962629,2962629,64,0,0.68,1386,adware
57206,8001,6,3275124,2,0.61,3275124,3275124,3275124,3275124,3275124,3275124,3275124,64,0,0.61,1386,adware
34390,8001,6,3316497,2,0.6,3316497,3316497,3316497,3316497,3316497,3316497,3316497,64,0,0.6,1386,adware
35490,8001,6,3329239,2,0.6,3329239,3329239,3329239,3329239,3329239,3329239,3329239,64,0,0.6,1386,adware
36754,8001,6,3372123,2,0.59,3372123,3372123,3372123,3372123,3372123,3372123,3372123,64,0,0.59,1386,adware
54804,8001,6,3379371,2,0.59,3379371,3379371,3379371,3379371,3379371,3379371,3379371,64,0,0.59,1386,adware
48509,8001,6,3374754,2,0.59,3374754,3374754,3374754,3374754,3374754,3374754,3374754,64,0,0.59,1386,adware
49366,8001,6,3387997,2,0.59,3387997,3387997,3387997,3387997,3387997,3387997,3387997,64,0,0.59,1386,adware
54095,8001,6,368833,1,5.42,368833,368833,368833,0,0,0,0,32,32,2.71,1386,adware
37441,8001,6,5846746,2,0.34,5846746,5846746,5846746,5846746,5846746,5846746,5846746,64,0,0.34,1386,adware
55116,8001,6,5948501,2,0.34,5948501,5948501,5948501,5948501,5948501,5948501,5948501,64,0,0.34,1386,adware
42285,8001,6,11659376,2,0.17,11700000,11700000,11700000,11700000,11700000,11700000,11700000,64,0,0.17,1386,adware
51715,8001,6,11724504,2,0.17,11700000,11700000,11700000,11700000,11700000,11700000,11700000,64,0,0.17,1386,adware
33039,8001,6,11765750,2,0.17,11800000,11800000,11800000,11800000,11800000,11800000,11800000,64,0,0.17,1386,adware
51020,8001,6,11765751,2,0.17,11800000,11800000,11800000,11800000,11800000,11800000,11800000,64,0,0.17,1386,adware
33116,8001,6,11782628,2,0.17,11800000,11800000,11800000,11800000,11800000,11800000,11800000,64,0,0.17,1386,adware
60925,8001,6,11884503,2,0.17,11900000,11900000,11900000,11900000,11900000,11900000,11900000,64,0,0.17,1386,adware
45606,8001,6,11884503,2,0.17,11900000,11900000,11900000,11900000,11900000,11900000,11900000,64,0,0.17,1386,adware
57206,8001,6,13059502,2,0.15,13100000,13100000,13100000,13100000,13100000,13100000,13100000,64,0,0.15,1386,adware
34390,8001,6,13267130,2,0.15,13300000,13300000,13300000,13300000,13300000,13300000,13300000,64,0,0.15,1386,adware
35490,8001,6,13324502,2,0.15,13300000,13300000,13300000,13300000,13300000,13300000,13300000,64,0,0.15,1386,adware
36754,8001,6,13510128,2,0.15,13500000,13500000,13500000,13500000,13500000,13500000,13500000,64,0,0.15,1386,adware
54804,8001,6,13520001,2,0.15,13500000,13500000,13500000,13500000,13500000,13500000,13500000,64,0,0.15,1386,adware
48509,8001,6,13520001,2,0.15,13500000,13500000,13500000,13500000,13500000,13500000,13500000,64,0,0.15,1386,adware
49366,8001,6,13540128,2,0.15,13500000,13500000,13500000,13500000,13500000,13500000,13500000,64,0,0.15,1386,adware
37441,8001,6,23441753,2,0.09,23400000,23400000,23400000,23400000,23400000,23400000,23400000,64,0,0.09,1386,adware
55116,8001,6,23843751,2,0.08,23800000,23800000,23800000,23800000,23800000,23800000,23800000,64,0,0.08,1386,adware
42285,8001,6,46638884,2,0.04,46600000,46600000,46600000,46600000,46600000,46600000,46600000,64,0,0.04,1386,adware
51715,8001,6,46806514,2,0.04,46800000,46800000,46800000,46800000,46800000,46800000,46800000,64,0,0.04,1386,adware
33039,8001,6,46966760,2,0.04,47000000,47000000,47000000,47000000,47000000,47000000,47000000,64,0,0.04,1386,adware
51020,8001,6,46966762,2,0.04,47000000,47000000,47000000,47000000,47000000,47000000,47000000,64,0,0.04,1386,adware
33116,8001,6,47208261,2,0.04,47200000,47200000,47200000,47200000,47200000,47200000,47200000,64,0,0.04,1386,adware
60925,8001,6,47517632,2,0.04,47500000,47500000,47500000,47500000,47500000,47500000,47500000,64,0,0.04,1386,adware
45606,8001,6,47517631,2,0.04,47500000,47500000,47500000,47500000,47500000,47500000,47500000,64,0,0.04,1386,adware
57206,8001,6,52325641,2,0.04,52300000,52300000,52300000,52300000,52300000,52300000,52300000,64,0,0.04,1386,adware
34390,8001,6,53123635,2,0.04,53100000,53100000,53100000,53100000,53100000,53100000,53100000,64,0,0.04,1386,adware
35490,8001,6,53287014,2,0.04,53300000,53300000,53300000,53300000,53300000,53300000,53300000,64,0,0.04,1386,adware
36754,8001,6,54000381,2,0.04,54000000,54000000,54000000,54000000,54000000,54000000,54000000,64,0,0.04,1386,adware
54804,8001,6,54000383,2,0.04,54000000,54000000,54000000,54000000,54000000,54000000,54000000,64,0,0.04,1386,adware
48509,8001,6,54000383,2,0.04,54000000,54000000,54000000,54000000,54000000,54000000,54000000,64,0,0.04,1386,adware
49366,8001,6,54167011,2,0.04,54200000,54200000,54200000,54200000,54200000,54200000,54200000,64,0,0.04,1386,adware
58631,8001,6,65982983,5,0.15,7331442.56,63800000,3,2165373,541343.25,724747,3,168,168,0.08,65535,adware
36372,8001,6,65895230,5,0.17,6589523,63800000,2,2075620,518905,723001,2,168,200,0.08,65535,adware
33687,8001,6,65962154,5,0.15,7329128.22,63800000,2,2142860,535715,719122,2,168,168,0.08,65535,adware
39230,8001,6,65988603,5,0.15,7332067,63800000,3,2147362,536840.5,721125,3,168,168,0.08,65535,adware
54928,8001,6,66088795,5,0.15,7343199.44,53700000,2,12400000,3095217.25,11000000,2,168,168,0.08,65535,adware
53335,8001,6,66052313,5,0.15,7339145.89,63900000,3,2149622,537405.5,724374,3,168,168,0.08,65535,adware
49527,8001,6,65933156,4,0.14,8241644.5,64500000,2,1407998,469332.67,732750,2,136,168,0.06,65535,adware
56028,8001,6,65897491,5,0.15,7321943.44,63800000,2,2080495,520123.75,722128,2,168,168,0.08,65535,adware
35246,8001,6,65913077,5,0.15,7323675.22,63800000,3,2093992,523498,723125,3,168,168,0.08,65535,adware
51233,8001,6,66014007,5,0.15,7334889.67,63900000,2,2109370,527342.5,724251,2,168,168,0.08,65535,adware
59547,8001,6,66015657,5,0.15,7335073,63900000,3,2110618,527654.5,721250,3,168,168,0.08,65535,adware
41712,8001,6,65933589,5,0.15,7325954.33,63800000,3,2113874,528468.5,723500,3,168,168,0.08,65535,adware
41712,8001,6,119573895,2,0.02,120000000,120000000,120000000,120000000,120000000,120000000,120000000,64,0,0.02,1386,adware
54240,8001,6,5819502,6,1.72,646611.33,3685125,808,5819502,1163900.4,3685125,2749,200,136,1.03,65535,adware
37270,8001,6,65826765,6,0.15,7314085,63700000,2,65800000,13200000,63700000,2,200,136,0.09,65535,adware
58631,8001,6,3173501,2,0.63,3173501,3173501,3173501,3173501,3173501,3173501,3173501,64,0,0.63,1386,adware
36372,8001,6,3173501,2,0.63,3173501,3173501,3173501,3173501,3173501,3173501,3173501,64,0,0.63,1386,adware
54928,8001,6,3172011,2,0.63,3172011,3172011,3172011,3172011,3172011,3172011,3172011,64,0,0.63,1386,adware
39230,8001,6,3172998,2,0.63,3172998,3172998,3172998,3172998,3172998,3172998,3172998,64,0,0.63,1403,adware
33687,8001,6,3172999,2,0.63,3172999,3172999,3172999,3172999,3172999,3172999,3172999,64,0,0.63,1386,adware
53335,8001,6,3172999,2,0.63,3172999,3172999,3172999,3172999,3172999,3172999,3172999,64,0,0.63,1386,adware
49527,8001,6,3172999,2,0.63,3172999,3172999,3172999,3172999,3172999,3172999,3172999,64,0,0.63,1386,adware
56028,8001,6,3172999,2,0.63,3172999,3172999,3172999,3172999,3172999,3172999,3172999,64,0,0.63,1386,adware
35246,8001,6,3173001,2,0.63,3173001,3173001,3173001,3173001,3173001,3173001,3173001,64,0,0.63,1386,adware
51233,8001,6,3173001,2,0.63,3173001,3173001,3173001,3173001,3173001,3173001,3173001,64,0,0.63,1386,adware
59547,8001,6,3171517,2,0.63,3171517,3171517,3171517,3171517,3171517,3171517,3171517,64,0,0.63,1386,adware
41712,8001,6,6360752,2,0.31,6360752,6360752,6360752,6360752,6360752,6360752,6360752,64,0,0.31,1386,adware
58631,8001,6,12700251,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
36372,8001,6,12700253,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
54928,8001,6,12700253,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
39230,8001,6,12700375,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1403,adware
33687,8001,6,12700376,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
53335,8001,6,12700376,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
49527,8001,6,12700376,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
56028,8001,6,12700376,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
35246,8001,6,12700376,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
51233,8001,6,12700376,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
59547,8001,6,12700376,2,0.16,12700000,12700000,12700000,12700000,12700000,12700000,12700000,64,0,0.16,1386,adware
41712,8001,6,25411634,2,0.08,25400000,25400000,25400000,25400000,25400000,25400000,25400000,64,0,0.08,1386,adware
58631,8001,6,50881758,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
36372,8001,6,50881757,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
54928,8001,6,50879772,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
39230,8001,6,50880756,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1403,adware
33687,8001,6,50880756,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
53335,8001,6,50880756,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
49527,8001,6,50880756,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
56028,8001,6,50880756,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
35246,8001,6,50880756,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
51233,8001,6,50879646,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
59547,8001,6,50880756,2,0.04,50900000,50900000,50900000,50900000,50900000,50900000,50900000,64,0,0.04,1386,adware
37613,8001,6,65951168,5,0.15,7327907.56,63800000,2,2135122,533780.5,724499,2,168,168,0.08,65535,adware
48279,8001,6,66074411,5,0.15,7341601.22,63900000,3,2165869,541467.25,730494,3,168,168,0.08,65535,adware
46755,8001,6,66004537,5,0.15,7333837.44,63800000,2,2172118,543029.5,731617,2,168,168,0.08,65535,adware
52894,8001,6,66096905,5,0.15,7344100.56,60800000,2,5253619,1313404.75,3786376,2,168,168,0.08,65535,adware
44999,8001,6,66016466,5,0.15,7335162.89,63900000,2,2084619,521154.75,722500,2,168,168,0.08,65535,adware
49669,8001,6,65994467,5,0.15,7332718.56,63900000,3,2090370,522592.5,722125,3,168,168,0.08,65535,adware
46702,8001,6,65894253,4,0.14,8236781.63,64500000,2,1363001,454333.67,726124,2,136,168,0.06,65535,adware
59017,8001,6,65916552,5,0.15,7324061.33,63800000,3,2091994,522998.5,717497,3,168,168,0.08,65535,adware
34129,8001,6,65954439,5,0.15,7328271,63800000,3,2113243,528310.75,719124,3,168,168,0.08,65535,adware
52342,8001,6,65934446,5,0.15,7326049.56,63800000,3,2113873,528468.25,721750,3,168,168,0.08,65535,adware
52878,8001,6,67952806,5,0.15,7550311.78,65800000,2,2119874,529968.5,725126,2,168,168,0.07,65535,adware
37813,8001,6,66010241,5,0.15,7334471.22,63900000,3,2123621,530905.25,722495,3,168,168,0.08,65535,adware
51417,8001,6,65911145,4,0.14,8238893.13,64500000,3,1412872,470957.33,729750,3,136,168,0.06,65535,adware
42523,8001,6,68857974,5,0.15,7650886,66700000,2,2148618,537154.5,723875,2,168,168,0.07,65535,adware
59902,8001,6,59971767,6,0.17,6663529.67,57800000,3,60000000,12000000,57800000,3,200,136,0.1,65535,adware
42523,8001,6,50729760,2,0.04,50700000,50700000,50700000,50700000,50700000,50700000,50700000,64,0,0.04,1386,adware
51417,8001,6,113804651,2,0.02,114000000,114000000,114000000,114000000,114000000,114000000,114000000,64,0,0.02,1386,adware
52342,8001,6,2772382,2,0.72,2772382,2772382,2772382,2772382,2772382,2772382,2772382,64,0,0.72,1386,adware
37613,8001,6,2896865,2,0.69,2896865,2896865,2896865,2896865,2896865,2896865,2896865,64,0,0.69,1386,adware
48279,8001,6,2895753,2,0.69,2895753,2895753,2895753,2895753,2895753,2895753,2895753,64,0,0.69,1386,adware
46755,8001,6,2895751,2,0.69,2895751,2895751,2895751,2895751,2895751,2895751,2895751,64,0,0.69,1386,adware
37813,8001,6,2901113,2,0.69,2901113,2901113,2901113,2901113,2901113,2901113,2901113,64,0,0.69,1386,adware
44999,8001,6,2894877,2,0.69,2894877,2894877,2894877,2894877,2894877,2894877,2894877,64,0,0.69,1386,adware
52878,8001,6,2894877,2,0.69,2894877,2894877,2894877,2894877,2894877,2894877,2894877,64,0,0.69,1386,adware
49669,8001,6,2893257,2,0.69,2893257,2893257,2893257,2893257,2893257,2893257,2893257,64,0,0.69,1386,adware
52894,8001,6,2911116,2,0.69,2911116,2911116,2911116,2911116,2911116,2911116,2911116,64,0,0.69,1386,General malware
46702,8001,6,2898378,2,0.69,2898378,2898378,2898378,2898378,2898378,2898378,2898378,64,0,0.69,1386,General malware
34129,8001,6,2898378,2,0.69,2898378,2898378,2898378,2898378,2898378,2898378,2898378,64,0,0.69,1386,General malware
59017,8001,6,2898378,2,0.69,2898378,2898378,2898378,2898378,2898378,2898378,2898378,64,0,0.69,1386,General malware
42523,8001,6,5808506,2,0.34,5808506,5808506,5808506,5808506,5808506,5808506,5808506,64,0,0.34,1386,General malware
51417,8001,6,5809494,2,0.34,5809494,5809494,5809494,5809494,5809494,5809494,5809494,64,0,0.34,1386,General malware
52342,8001,6,11021000,2,0.18,11000000,11000000,11000000,11000000,11000000,11000000,11000000,64,0,0.18,1386,General malware
37613,8001,6,11579876,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
48279,8001,6,11579876,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
46755,8001,6,11579877,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
37813,8001,6,11579879,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
44999,8001,6,11579880,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
52878,8001,6,11579880,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
49669,8001,6,11579880,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
46702,8001,6,11600252,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
34129,8001,6,11600252,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
59017,8001,6,11600251,2,0.17,11600000,11600000,11600000,11600000,11600000,11600000,11600000,64,0,0.17,1386,General malware
52894,8001,6,11685876,2,0.17,11700000,11700000,11700000,11700000,11700000,11700000,11700000,64,0,0.17,1386,General malware
42523,8001,6,23200007,2,0.09,23200000,23200000,23200000,23200000,23200000,23200000,23200000,64,0,0.09,1386,General malware
51417,8001,6,23200127,2,0.09,23200000,23200000,23200000,23200000,23200000,23200000,23200000,64,0,0.09,1386,General malware
33623,8001,6,65972398,5,0.14,8246549.75,61300000,2,4643871,1160967.75,3179502,2,168,136,0.08,65535,General malware
52342,8001,6,44068881,2,0.05,44100000,44100000,44100000,44100000,44100000,44100000,44100000,64,0,0.05,1386,General malware
37613,8001,6,46321509,2,0.04,46300000,46300000,46300000,46300000,46300000,46300000,46300000,64,0,0.04,1386,General malware
48279,8001,6,46321510,2,0.04,46300000,46300000,46300000,46300000,46300000,46300000,46300000,64,0,0.04,1386,General malware
